date,Predicted Occ.,Observed Occ.,Occ. Diff.,Rel. Price r* (α=0.5),Recom. Price,Observed Price,Price Diff.
2025-04-27,0.4203938904973863,0.40350877192982454,-1.6885118567561752,0.8984352251069235,135607.41310986673,153314.0,-11.5
2025-04-28,0.3197387402857911,0.22807017543859648,-9.16685648471946,0.7718506394672147,116501.07386749965,,
2025-04-29,0.33553164640336197,0.05263157894736842,-28.290006745599356,0.7890049028274543,119090.29255915392,,
2025-04-30,0.3416346151165314,0.2631578947368421,-7.847672037968934,0.7962457600427043,120183.20820651305,196030.0,-38.7
2025-05-01,0.4477829671996146,0.6491228070175439,20.13398398179293,0.9253376397802497,139667.99172289306,196030.0,-28.8
2025-05-02,0.49751150248160253,0.6140350877192983,11.652358523769573,0.9635744957475338,145439.36062994017,196030.0,-25.8
2025-05-03,0.5158701609287534,0.5964912280701754,8.062106714142203,0.9822855515364722,148263.55741250774,153790.0,-3.6
2025-05-04,0.4072915108264743,0.2982456140350877,-10.90458967913866,0.882754980205184,133240.67882715756,153790.0,-13.4
2025-05-05,0.3232780672489465,0.40350877192982454,8.023070468087806,0.7755165492482826,117054.39649801608,153790.0,-23.9
2025-05-06,0.32699872372388755,0.43859649122807015,11.15977675041826,0.7794759807892643,117652.02251896182,153790.0,-23.5
2025-05-07,0.336913732014623,0.45614035087719296,11.922661886256996,0.7906201256379107,119334.08997581908,153790.0,-22.4
2025-05-08,0.43324435868566974,0.45614035087719296,2.289599219152322,0.9120737978520664,137665.98285067297,153790.0,-10.5
2025-05-09,0.48813485850844834,0.5087719298245614,2.0637071316113085,0.9556508292782329,144243.38357759407,162566.0,-11.3
2025-05-10,0.5093079648193867,0.43859649122807015,-7.071147359131652,0.9750861023458587,147176.89178178422,162566.0,-9.5
