apartment_id,avg_nightly_rate,avg_bed_rate,max_bed_rate,min_bed_rate,bed_rate_ratio,min_avg_bed_rate_ratio,max_avg_bed_rate_ratio,avg_people_count,max_people_count,num_reservations
0,330769.76056338026,198064.5633802817,771963,70210,10.995057684090586,0.35448037145947003,3.8975321320747307,1.8169014084507042,3,142
1,400361.4375,197835.8515625,595621,73149,8.1425720105538,0.369745925332906,3.010682822632036,2.125,4,128
2,647331.3700787402,153739.8503937008,750731,57239,13.115725292195881,0.37231075647218964,4.883125605218878,4.4015748031496065,8,127
3,425834.70707070705,141986.66666666666,340125,51681,6.581238753120102,0.3639848812095033,2.3954714057657998,3.04040404040404,5,99
4,293796.33613445377,139857.0,416719,57448,7.253846957248294,0.4107624216163653,2.9796077421938123,2.19327731092437,4,119
5,276527.8360655738,164387.9262295082,489035,63730,7.673544641456143,0.3876805399383416,2.9748839298406855,1.7950819672131149,2,122
6,656713.8125,154487.328125,493572,49618,9.94743842960216,0.321178446169078,3.1949028181821952,4.2890625,8,128
7,373715.7476635514,171473.58878504674,573107,73244,7.824627273223745,0.4271444979892274,3.342246488573974,2.2990654205607477,4,107
8,388180.1879194631,240286.92617449665,795742,76468,10.4062091332322,0.31823620709380107,3.3116325247846867,1.7516778523489933,2,149
9,438808.44537815126,167422.9411764706,483820,73279,6.602437260333793,0.43768792666687745,2.8898070754236365,2.73109243697479,6,119
10,277778.5,156984.35714285713,325614,78476,4.149217595188338,0.4998969415060009,2.074181185477534,1.8571428571428572,2,14
11,578718.469879518,176579.98795180724,583258,88028,6.625823601581315,0.49851628727047415,3.3030809819693983,3.4578313253012047,7,83
12,262635.5119047619,149187.86904761905,383598,72987,5.255703070409799,0.48922878559719485,2.571241230596034,1.8333333333333333,2,84
